#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   2.22252    -13.067467  0.622  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.635
   2.26121    -13.158330  0.616  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.631
   2.29990    -13.253270  0.610  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.626
   2.33859    -13.351246  0.604  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.621
   2.37728    -13.451190  0.600  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.615
   2.41597    -13.552063  0.596  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.610
   2.45466    -13.652873  0.591  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.604
   2.49335    -13.752679  0.586  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.598
   2.53204    -13.850602  0.580  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.594
   2.57073    -13.945828  0.576  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.590
   2.60942    -14.037594  0.574  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.586
   2.64811    -14.125193  0.570  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.582
   2.68680    -14.208002  0.567  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.579
   2.72549    -14.285451  0.564  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.574
   2.76418    -14.357038  0.562  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   2.80287    -14.422282  0.558  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.568
   2.84156    -14.480781  0.556  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.567
   2.88025    -14.532187  0.556  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.564
   2.91894    -14.576192  0.554  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.562
   2.95763    -14.612559  0.552  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.562
   2.99632    -14.641061  0.552  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.561
   3.03501    -14.661535  0.551  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.559
   3.07370    -14.673861  0.550  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.558
   3.11239    -14.677967  0.550  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.558
 
# Band-Index:    2
   3.11239    -14.578634  0.552  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   3.07370    -14.574553  0.552  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   3.03501    -14.562332  0.552  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.564
   2.99632    -14.542046  0.554  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.566
   2.95763    -14.513818  0.556  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.566
   2.91894    -14.477813  0.556  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.568
   2.88025    -14.434248  0.558  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.568
   2.84156    -14.383405  0.560  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   2.80287    -14.325590  0.561  0.000  0.010  0.001  0.000  0.000  0.000  0.000  0.000  0.575
   2.76418    -14.261175  0.564  0.000  0.010  0.003  0.000  0.000  0.000  0.000  0.000  0.578
   2.72549    -14.190584  0.566  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.580
   2.68680    -14.114291  0.569  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.584
   2.64811    -14.032838  0.571  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.586
   2.60942    -13.946822  0.577  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.591
   2.57073    -13.856905  0.579  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.595
   2.53204    -13.763785  0.585  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.599
   2.49335    -13.668246  0.589  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.604
   2.45466    -13.571132  0.593  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.607
   2.41597    -13.473336  0.599  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.614
   2.37728    -13.375816  0.604  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.33859    -13.279586  0.609  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.623
   2.29990    -13.185668  0.615  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.630
   2.26121    -13.095098  0.620  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.635
   2.22252    -13.008914  0.625  0.000  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.640
   2.18383    -12.928124  0.631  0.000  0.011  0.004  0.000  0.000  0.000  0.000  0.000  0.645
   2.14514    -12.853640  0.636  0.000  0.011  0.003  0.000  0.000  0.000  0.000  0.000  0.650
   2.10645    -12.786280  0.641  0.000  0.011  0.002  0.000  0.000  0.000  0.000  0.000  0.654
   2.06776    -12.726720  0.645  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.658
   2.02908    -12.675480  0.648  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.660
   1.99039    -12.632874  0.650  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.664
   1.95170    -12.599023  0.653  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.665
   1.91301    -12.573861  0.655  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.667
   1.87432    -12.557079  0.657  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.83563    -12.548181  0.657  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.79694    -12.546440  0.658  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.670
   1.79694    -12.546440  0.658  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.670
   1.77759    -12.547913  0.658  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.670
   1.75825    -12.551012  0.656  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.669
   1.73890    -12.555494  0.658  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.668
   1.71956    -12.561236  0.655  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.668
   1.70021    -12.568119  0.654  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.668
   1.68087    -12.576025  0.656  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.667
   1.66152    -12.584833  0.655  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.667
   1.64218    -12.594431  0.655  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.667
