     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -14.23196    -0.48096    -0.00104    -0.00823    -0.00104     0.00000     0.00000     0.00000     0.00000     0.00000    -0.49126
   -14.16196    -0.50988    -0.00128    -0.00871    -0.00128     0.00000     0.00000     0.00000     0.00000     0.00000    -0.52115
   -14.09196    -0.48720    -0.00140    -0.00825    -0.00140     0.00000     0.00000     0.00000     0.00000     0.00000    -0.49825
   -14.02196    -0.44559    -0.00143    -0.00747    -0.00143     0.00000     0.00000     0.00000     0.00000     0.00000    -0.45592
   -13.95196    -0.23733    -0.00082    -0.00396    -0.00082     0.00000     0.00000     0.00000     0.00000     0.00000    -0.24293
   -13.88196    -0.34305    -0.00121    -0.00579    -0.00121     0.00000     0.00000     0.00000     0.00000     0.00000    -0.35126
   -13.81196    -0.43671    -0.00164    -0.00734    -0.00164     0.00000     0.00000     0.00000     0.00000     0.00000    -0.44733
   -13.74196    -0.46956    -0.00185    -0.00784    -0.00185     0.00000     0.00000     0.00000     0.00000     0.00000    -0.48110
   -13.67196    -0.28551    -0.00114    -0.00480    -0.00114     0.00000     0.00000     0.00000     0.00000     0.00000    -0.29260
   -13.60196    -0.43560    -0.00179    -0.00721    -0.00179     0.00000     0.00000     0.00000     0.00000     0.00000    -0.44638
   -13.53196    -0.47211    -0.00194    -0.00787    -0.00194     0.00000     0.00000     0.00000     0.00000     0.00000    -0.48387
   -13.46196    -0.32796    -0.00112    -0.00485    -0.00112     0.00000     0.00000     0.00000     0.00000     0.00000    -0.33505
   -13.39196    -2.35500    -0.00125    -0.00643    -0.00125     0.00000     0.00000     0.00000     0.00000     0.00000    -2.36393
   -13.32196    -1.47240    -0.00257    -0.00954    -0.00257     0.00000     0.00000     0.00000     0.00000     0.00000    -1.48707
   -13.25196    -2.05920    -0.00261    -0.01099    -0.00261     0.00000     0.00000     0.00000     0.00000     0.00000    -2.07541
   -13.18196    -1.64040    -0.00260    -0.00970    -0.00260     0.00000     0.00000     0.00000     0.00000     0.00000    -1.65530
   -13.11196    -1.45110    -0.00275    -0.00941    -0.00275     0.00000     0.00000     0.00000     0.00000     0.00000    -1.46602
   -13.04196    -1.49880    -0.00322    -0.01184    -0.00322     0.00000     0.00000     0.00000     0.00000     0.00000    -1.51708
   -12.97196    -1.44030    -0.00308    -0.01268    -0.00308     0.00000     0.00000     0.00000     0.00000     0.00000    -1.45913
   -12.90196    -1.47300    -0.00289    -0.01468    -0.00289     0.00000     0.00000     0.00000     0.00000     0.00000    -1.49346
   -12.83196    -1.71900    -0.00293    -0.01824    -0.00293     0.00000     0.00000     0.00000     0.00000     0.00000    -1.74310
   -12.76196    -4.39590    -0.00327    -0.06729    -0.00327     0.00000     0.00000     0.00000     0.00000     0.00000    -4.46973
   -12.69196    -3.33330    -0.00304    -0.04680    -0.00304     0.00000     0.00000     0.00000     0.00000     0.00000    -3.38619
   -12.62196    -3.19590    -0.00247    -0.04528    -0.00247     0.00000     0.00000     0.00000     0.00000     0.00000    -3.24613
   -12.55196    -6.14100    -0.00318    -0.08094    -0.00318     0.00000     0.00000     0.00000     0.00000     0.00000    -6.22829
   -12.48196    -5.72250    -0.00326    -0.05948    -0.00326     0.00000     0.00000     0.00000     0.00000     0.00000    -5.78850
   -12.41196    -3.77460    -0.00132    -0.03299    -0.00132     0.00000     0.00000     0.00000     0.00000     0.00000    -3.81022
   -12.34196    -2.92170    -0.00017    -0.02629    -0.00017     0.00000     0.00000     0.00000     0.00000     0.00000    -2.94833
   -12.27196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.20196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.13196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.06196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.99196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.92196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.85196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.78196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.71196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.64196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.57096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.50096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.43096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.36096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.29096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.22096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.15096     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
