     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -10.87096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.80096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.73096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.66096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.59096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.52096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.45096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.38096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.31096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.24096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.17096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.10096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
   -10.03096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.96096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.89096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.82096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.75096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.68096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.61096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.54096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.47096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.40096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.33096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.26096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.19096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.12096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -9.05096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.98096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.91096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.84096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.77096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.70096    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.62996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.55996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.48996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.41996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.34996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.27996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.20996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.13996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -8.06996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.99996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.92996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.85996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.78996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.71996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.64996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.57996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.50996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.43996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.36996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.29996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.22996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.15996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.08996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -7.01996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -6.94996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -6.87996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -6.80996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
    -6.73996    -0.15948    -0.05299    -0.06850    -0.05299    -0.04625    -0.11396    -0.00114    -0.11396    -0.04625    -0.65552
