#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   2.84156    -14.383405  0.120  0.000  0.000  0.005  0.002  0.000  0.000  0.000  0.000  0.130
   2.80287    -14.325590  0.118  0.000  0.000  0.007  0.003  0.000  0.000  0.000  0.000  0.129
   2.76418    -14.261175  0.113  0.000  0.000  0.009  0.004  0.000  0.000  0.000  0.000  0.129
   2.72549    -14.190584  0.109  0.000  0.000  0.011  0.005  0.000  0.000  0.000  0.000  0.128
   2.68680    -14.114291  0.106  0.000  0.000  0.014  0.006  0.000  0.000  0.000  0.000  0.127
   2.64811    -14.032838  0.101  0.000  0.000  0.016  0.007  0.000  0.000  0.000  0.001  0.126
   2.60942    -13.946822  0.095  0.000  0.000  0.018  0.009  0.000  0.000  0.000  0.002  0.125
   2.57073    -13.856905  0.090  0.000  0.000  0.020  0.010  0.000  0.000  0.000  0.002  0.124
   2.53204    -13.763785  0.085  0.001  0.000  0.023  0.011  0.000  0.000  0.000  0.002  0.123
   2.49335    -13.668246  0.079  0.002  0.000  0.024  0.012  0.000  0.000  0.000  0.003  0.123
   2.45466    -13.571132  0.073  0.002  0.000  0.026  0.014  0.000  0.000  0.000  0.003  0.121
   2.41597    -13.473336  0.067  0.002  0.000  0.028  0.016  0.000  0.000  0.000  0.004  0.121
   2.37728    -13.375816  0.061  0.003  0.000  0.031  0.018  0.000  0.000  0.000  0.005  0.120
   2.33859    -13.279586  0.055  0.004  0.000  0.033  0.020  0.000  0.000  0.000  0.005  0.119
   2.29990    -13.185668  0.047  0.005  0.000  0.035  0.022  0.000  0.000  0.000  0.007  0.118
   2.26121    -13.095098  0.041  0.005  0.000  0.035  0.024  0.000  0.000  0.001  0.007  0.118
   2.22252    -13.008914  0.035  0.007  0.000  0.037  0.026  0.000  0.000  0.001  0.009  0.117
   2.18383    -12.928124  0.030  0.009  0.000  0.038  0.028  0.000  0.000  0.001  0.010  0.117
   2.14514    -12.853640  0.024  0.010  0.000  0.039  0.028  0.000  0.000  0.001  0.012  0.116
   2.10645    -12.786280  0.019  0.012  0.000  0.039  0.030  0.000  0.000  0.001  0.014  0.115
   2.06776    -12.726720  0.014  0.014  0.000  0.039  0.031  0.000  0.000  0.001  0.014  0.115
   2.02908    -12.675480  0.011  0.016  0.000  0.039  0.032  0.000  0.000  0.001  0.016  0.115
   1.99039    -12.632874  0.007  0.018  0.000  0.037  0.032  0.000  0.000  0.000  0.018  0.115
   1.95170    -12.599023  0.005  0.020  0.000  0.037  0.032  0.000  0.000  0.000  0.020  0.115
   1.91301    -12.573861  0.002  0.023  0.000  0.035  0.031  0.000  0.000  0.000  0.021  0.115
   1.87432    -12.557079  0.001  0.025  0.000  0.033  0.030  0.000  0.000  0.000  0.023  0.114
   1.83563    -12.548181  0.000  0.027  0.000  0.032  0.029  0.000  0.000  0.000  0.025  0.114
   1.79694    -12.546440  0.000  0.030  0.000  0.030  0.028  0.000  0.000  0.000  0.028  0.114
   1.79694    -12.546440  0.000  0.030  0.000  0.030  0.028  0.000  0.000  0.000  0.028  0.114
   1.77759    -12.547913  0.000  0.029  0.000  0.030  0.028  0.000  0.000  0.000  0.027  0.115
   1.75825    -12.551012  0.000  0.029  0.000  0.030  0.029  0.000  0.000  0.000  0.027  0.114
