#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.95170    -12.620035  0.652  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.664
   1.99039    -12.659380  0.651  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.663
   2.02908    -12.707513  0.646  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.659
   2.06776    -12.764278  0.642  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   2.10645    -12.829301  0.638  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.651
   2.14514    -12.902019  0.634  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   2.18383    -12.981699  0.628  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.641
   2.22252    -13.067466  0.622  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.635
   2.26121    -13.158329  0.616  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.631
   2.29990    -13.253270  0.610  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.626
   2.33859    -13.351245  0.604  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.621
   2.37728    -13.451190  0.600  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.615
   2.41597    -13.552062  0.596  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.610
   2.45466    -13.652873  0.591  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.604
   2.49335    -13.752678  0.586  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.598
   2.53204    -13.850602  0.580  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.594
   2.57073    -13.945827  0.576  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.590
   2.60942    -14.037593  0.574  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.586
   2.64811    -14.125192  0.570  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.582
   2.68680    -14.208001  0.567  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.579
   2.72549    -14.285450  0.564  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.574
   2.76418    -14.357037  0.562  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   2.80287    -14.422282  0.558  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.568
   2.84156    -14.480780  0.556  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.567
   2.88025    -14.532187  0.556  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.564
   2.91894    -14.576192  0.554  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.562
   2.95763    -14.612558  0.552  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.562
   2.99632    -14.641061  0.552  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.561
   3.03501    -14.661535  0.551  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.559
   3.07370    -14.673860  0.550  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.558
   3.11239    -14.677966  0.550  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.558
 
# Band-Index:    2
   3.11239    -14.578634  0.552  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   3.07370    -14.574552  0.552  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   3.03501    -14.562332  0.552  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.564
   2.99632    -14.542046  0.554  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.566
