#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.54545    -12.624933    -12.624933
   1.56480    -12.614501    -12.614501
   1.58414    -12.604398    -12.604399
   1.60349    -12.594725    -12.594726
   1.62283    -12.585593    -12.585594
   1.64218    -12.577111    -12.577111
   1.66152    -12.569390    -12.569390
   1.68087    -12.562548    -12.562548
   1.70021    -12.556696    -12.556696
   1.71956    -12.551955    -12.551956
   1.73890    -12.548443    -12.548443
   1.75825    -12.546275    -12.546275
   1.77759    -12.545552    -12.545553
   1.79694    -12.546212    -12.546213
   1.79694    -12.546212    -12.546213
   1.83563    -12.547994    -12.547994
   1.87432    -12.556896    -12.556897
   1.91301    -12.573683    -12.573684
   1.95170    -12.598849    -12.598850
   1.99039    -12.632703    -12.632704
   2.02908    -12.675313    -12.675313
   2.06776    -12.726554    -12.726555
   2.10645    -12.786116    -12.786116
   2.14514    -12.853475    -12.853476
   2.18383    -12.927960    -12.927960
   2.22252    -13.008749    -13.008749
   2.26121    -13.094933    -13.094933
   2.29990    -13.185502    -13.185503
   2.33859    -13.279419    -13.279420
   2.37728    -13.375648    -13.375648
   2.41597    -13.473167    -13.473168
   2.45466    -13.570962    -13.570963
   2.49335    -13.668076    -13.668076
   2.53204    -13.763614    -13.763615
   2.57073    -13.856734    -13.856735
   2.60942    -13.946650    -13.946650
   2.64811    -14.032666    -14.032666
   2.68680    -14.114118    -14.114119
   2.72549    -14.190411    -14.190411
   2.76418    -14.261002    -14.261002
   2.80287    -14.325416    -14.325416
   2.84156    -14.383230    -14.383231
   2.88025    -14.434074    -14.434074
   2.91894    -14.477639    -14.477639
   2.95763    -14.513643    -14.513644
   2.99632    -14.541872    -14.541872
   3.03501    -14.562157    -14.562158
   3.07370    -14.574378    -14.574378
   3.11239    -14.578459    -14.578460
 
# Band-Index:    4
   3.11239    -13.452509    -13.452509
   3.07370    -13.450462    -13.450462
   3.03501    -13.444333    -13.444334
   2.99632    -13.434160    -13.434161
   2.95763    -13.420006    -13.420006
   2.91894    -13.401959    -13.401959
   2.88025    -13.380128    -13.380129
   2.84156    -13.354658    -13.354659
   2.80287    -13.325706    -13.325706
   2.76418    -13.293459    -13.293459
   2.72549    -13.258130    -13.258131
   2.68680    -13.219959    -13.219959
   2.64811    -13.179207    -13.179207
   2.60942    -13.136173    -13.136174
   2.57073    -13.091177    -13.091178
   2.53204    -13.044538    -13.044539
   2.49335    -12.996626    -12.996626
   2.45466    -12.947829    -12.947829
   2.41597    -12.898555    -12.898556
   2.37728    -12.849238    -12.849238
   2.33859    -12.800334    -12.800334
   2.29990    -12.752305    -12.752305
   2.26121    -12.705611    -12.705612
   2.22252    -12.660740    -12.660740
   2.18383    -12.618168    -12.618168
   2.14514    -12.578352    -12.578352
   2.10645    -12.541726    -12.541726
   2.06776    -12.508679    -12.508679
   2.02908    -12.479527    -12.479528
   1.99039    -12.454514    -12.454514
   1.95170    -12.433792    -12.433792
   1.91301    -12.417427    -12.417428
   1.87432    -12.405391    -12.405392
   1.83563    -12.397586    -12.397587
   1.79694    -12.393861    -12.393862
   1.79694    -12.393861    -12.393862
   1.77759    -12.395997    -12.395998
   1.75825    -12.399097    -12.399098
   1.73890    -12.402997    -12.402998
   1.71956    -12.407640    -12.407641
   1.70021    -12.412965    -12.412965
   1.68087    -12.418912    -12.418913
   1.66152    -12.425420    -12.425420
   1.64218    -12.432425    -12.432426
   1.62283    -12.439857    -12.439858
   1.60349    -12.447651    -12.447652
   1.58414    -12.455747    -12.455747
   1.56480    -12.464070    -12.464070
   1.54545    -12.472549    -12.472550
   1.52611    -12.481128    -12.481129
   1.50676    -12.489734    -12.489735
   1.48742    -12.498307    -12.498307
   1.46807    -12.506783    -12.506784
   1.44873    -12.515108    -12.515109
   1.42939    -12.523223    -12.523224
   1.41004    -12.531075    -12.531076
   1.39070    -12.538616    -12.538616
   1.37135    -12.545791    -12.545791
   1.35201    -12.552562    -12.552562
   1.33266    -12.558883    -12.558884
   1.31332    -12.564723    -12.564724
   1.29397    -12.570041    -12.570042
   1.27463    -12.574806    -12.574806
   1.25528    -12.578989    -12.578989
   1.23594    -12.582570    -12.582570
   1.21659    -12.585524    -12.585524
   1.19725    -12.587838    -12.587839
   1.17790    -12.589502    -12.589503
   1.15856    -12.590505    -12.590505
   1.13921    -12.590840    -12.590841
   1.13921    -12.590840    -12.590841
   1.10571    -12.593008    -12.593009
   1.07220    -12.599503    -12.599503
   1.03869    -12.610281    -12.610282
   1.00519    -12.625254    -12.625254
   0.97168    -12.644261    -12.644261
   0.93818    -12.667061    -12.667061
   0.90467    -12.693340    -12.693341
   0.87116    -12.722750    -12.722750
   0.83766    -12.754904    -12.754905
   0.80415    -12.789398    -12.789398
   0.77064    -12.825815    -12.825815
   0.73714    -12.863741    -12.863742
   0.70363    -12.902777    -12.902778
   0.67013    -12.942509    -12.942510
   0.63662    -12.982564    -12.982565
   0.60311    -13.022573    -13.022574
   0.56961    -13.062204    -13.062205
   0.53610    -13.101139    -13.101139
   0.50259    -13.139075    -13.139076
   0.46909    -13.175759    -13.175759
   0.43558    -13.210927    -13.210928
   0.40208    -13.244352    -13.244352
   0.36857    -13.275822    -13.275823
   0.33506    -13.305153    -13.305154
   0.30156    -13.332175    -13.332175
   0.26805    -13.356740    -13.356740
